:Data_list: power_202405.txt
:Created: Tue May  30 10:07:54 UTC 2024


# Prepared by the U.S. Dept. of Commerce, NOAA-UT, Space Environment Center.
# Please send comments and suggestions to sec@sec.NOAA-UT.gov 
# 
# Source: NOAA-UT POES (Whatever is aloft)
# Units: gigawatts

# Format:

# Each line is formatted as in this example:

# 2006-09-05 00:54:25 NOAA-UT-16 (S)  7   29.67   0.82

# A19   Date and UT at the center of the polar pass as YYYY-MM-DD hh:mm:ss
# 1X    (Space)
# A7	NOAA-UT POES Satellite number
# 1X    (Space)
# A3	(S) or (N) - hemisphere
# I3	Hemispheric Power Index (activity level)
# F7.2	Estimated Hemispheric Power in gigawatts
# F7.2	Normalizing factor

2024-05-05 00:00:00 NOAA-UT (N)  7   28.00   1.00
2024-05-05 00:00:00 NOAA-UT (S)  8   30.00   1.00
2024-05-05 00:05:00 NOAA-UT (N)  7   28.00   1.00
2024-05-05 00:05:00 NOAA-UT (S)  8   30.00   1.00
2024-05-05 00:10:00 NOAA-UT (N)  7   27.00   1.00
2024-05-05 00:10:00 NOAA-UT (S)  8   30.00   1.00
2024-05-05 00:15:00 NOAA-UT (N)  7   27.00   1.00
2024-05-05 00:15:00 NOAA-UT (S)  7   29.00   1.00
2024-05-05 00:20:00 NOAA-UT (N)  7   27.00   1.00
2024-05-05 00:20:00 NOAA-UT (S)  7   29.00   1.00
2024-05-05 00:25:00 NOAA-UT (N)  7   27.00   1.00
2024-05-05 00:25:00 NOAA-UT (S)  7   29.00   1.00
2024-05-05 00:30:00 NOAA-UT (N)  7   27.00   1.00
2024-05-05 00:30:00 NOAA-UT (S)  7   29.00   1.00
2024-05-05 00:35:00 NOAA-UT (N)  7   27.00   1.00
2024-05-05 00:35:00 NOAA-UT (S)  7   29.00   1.00
2024-05-05 00:40:00 NOAA-UT (N)  7   26.00   1.00
2024-05-05 00:40:00 NOAA-UT (S)  7   28.00   1.00
2024-05-05 00:45:00 NOAA-UT (N)  7   26.00   1.00
2024-05-05 00:45:00 NOAA-UT (S)  7   28.00   1.00
2024-05-05 00:50:00 NOAA-UT (N)  7   26.00   1.00
2024-05-05 00:50:00 NOAA-UT (S)  7   28.00   1.00
2024-05-05 00:55:00 NOAA-UT (N)  7   26.00   1.00
2024-05-05 00:55:00 NOAA-UT (S)  7   28.00   1.00
2024-05-05 01:00:00 NOAA-UT (N)  7   25.00   1.00
2024-05-05 01:00:00 NOAA-UT (S)  7   27.00   1.00
2024-05-05 01:05:00 NOAA-UT (N)  7   25.00   1.00
2024-05-05 01:05:00 NOAA-UT (S)  7   27.00   1.00
2024-05-05 01:10:00 NOAA-UT (N)  7   25.00   1.00
2024-05-05 01:10:00 NOAA-UT (S)  7   27.00   1.00
2024-05-05 01:15:00 NOAA-UT (N)  7   25.00   1.00
2024-05-05 01:15:00 NOAA-UT (S)  7   27.00   1.00
2024-05-05 01:20:00 NOAA-UT (N)  7   25.00   1.00
2024-05-05 01:20:00 NOAA-UT (S)  7   27.00   1.00
2024-05-05 01:25:00 NOAA-UT (N)  7   25.00   1.00
2024-05-05 01:25:00 NOAA-UT (S)  7   27.00   1.00
